"Total_Value","Year","Month","Day","Hour","Ventilation","Sokets_Plug","Lighting","Other_Electricity","Cooling","Heating","Y.Ventilation","Y.Sokets_Plug","Y.Lighting","Y.Other_Electricity","Y.Cooling","Y.Heating"
382.751,2021,6,7,12,76.875,27.813,43.063,127.125,35.125,72.75,0.20069034381086,0.0731012294490139,0.112759906103414,0.331368934098309,0.0921165896914382,0.189962996846965
327.751,2021,6,7,13,116,27.125,40.813,98.063,39.5,6.25,0.353060272136733,0.0831494506086015,0.12471951333802,0.298586118485537,0.120731970061886,0.0197526753692232
301.001,2021,6,7,16,80.625,34.5,36.938,80.5,62.438,6,0.267387782662303,0.114858527499252,0.122920670026895,0.266974424247227,0.207245786702403,0.0206128088619204
268,2021,6,7,18,52.875,27.75,36.5,121.375,23.5,6,0.197152979316381,0.103837007094159,0.136335106873042,0.451566674728211,0.0880522157729869,0.0230560162152202
257.001,2021,6,7,19,102.125,27.063,33.625,66.188,21.5,6.5,0.396303914439301,0.105587182828371,0.131001949192589,0.257119144730234,0.0840415648332252,0.0259462439762808
156.251,2021,6,8,7,24,11.375,4.563,92.438,17.625,6.25,0.153659515344534,0.0732341041412397,0.0298394189042622,0.589632132527191,0.11304866414287,0.0405861649399024
217.001,2021,6,8,8,56.625,12.438,12.313,103.125,26.5,6,0.260507031144705,0.0578239533913509,0.0572505860045818,0.473799699022835,0.122325490933335,0.0282932395031917
255.501,2021,6,8,16,136.625,30.375,32.063,30.063,19.875,6.5,0.533029705109511,0.119105290520716,0.125681332043783,0.117889813651523,0.0781998189613522,0.0260940397131156
248.501,2021,6,8,17,36.5,31.063,30.625,125.563,18.75,6,0.146972298370163,0.125194403296487,0.123439994975304,0.50371400683933,0.0758747008793119,0.0248045956394045
254.001,2021,6,8,20,48.25,19.188,24.75,139.063,16.75,6,0.189852043087611,0.0759648784555675,0.0977610524863784,0.545726899660792,0.0664109280263843,0.0242841982832672
292.25,2021,6,8,21,183.375,20.625,19,0,63.25,6,0.625326067441836,0.0710180168763003,0.0654834510872435,0.000771604938271605,0.21619393488156,0.021206924774789
125,2021,6,9,4,5.625,9.875,3.625,78.75,21.125,6,0.0455632716049383,0.0794058641975309,0.0296373456790123,0.627854938271605,0.168989197530864,0.0485493827160494
142.251,2021,6,9,6,8.125,12.438,4.625,86.313,24.5,6.25,0.0576245216788166,0.0878037992052129,0.0331340344675049,0.604728011415398,0.172205015417453,0.0445046178156139
10.688,2021,6,9,11,2.125,6.25,2.313,0,0,0,0.198672244631108,0.582832309917203,0.216180630636874,0.000771604938271605,0.000771604938271605,0.000771604938271605
304.501,2021,6,9,12,83.5,29.75,37.563,110.438,35.75,7.5,0.273721204203712,0.0980201148561981,0.123559698318005,0.361777686898472,0.117633259713595,0.0252880360100178
313.501,2021,6,9,15,195.875,24.813,35.563,0,46.75,10.5,0.622677663599317,0.0795532515677879,0.113684662572797,0.000771604938271605,0.149203555122848,0.0341092621989786
10.563,2021,6,9,17,0.75,8.625,1.188,0,0,0,0.0714454454928278,0.813520771315669,0.112718968376689,0.000771604938271605,0.000771604938271605,0.000771604938271605
233.751,2021,6,9,21,74.875,20.938,20.563,78.375,32.75,6.25,0.319608129622579,0.0899308590797076,0.0883340150495692,0.334512007237204,0.140229316903695,0.0273856721072455
4.313,2021,6,10,8,0.875,2.438,1,0,0,0,0.202707397675131,0.563422419443944,0.231555368066111,0.000771604938271605,0.000771604938271605,0.000771604938271605
254.501,2021,6,10,10,82.25,18.188,24.688,104,15.375,10,0.322456835892032,0.0719060849454083,0.0973280180906903,0.407522535262783,0.0609042544934578,0.0398822713156285
269.001,2021,6,10,13,85.875,26.438,37.563,93.625,19,6.5,0.318530388569394,0.0985987574464476,0.139764014714526,0.347207309362887,0.0710763139803831,0.0248232159263624
19.001,2021,6,10,14,1.875,11.563,5.563,0,0,0,0.0989937745316848,0.606501176676211,0.292190233977289,0.000771604938271605,0.000771604938271605,0.000771604938271605
281.001,2021,6,10,16,73.125,30.563,33.375,109.938,27.5,6.5,0.259797225250418,0.109032801978957,0.118993554721764,0.390197364198124,0.0981829493291641,0.0237961045215735
336.001,2021,6,10,21,33.625,21.375,14.063,0,260.688,6.25,0.100382405810006,0.0640929690611958,0.0424318783259059,0.000771604938271605,0.773034518176956,0.0192866236876647
7.626,2021,6,10,23,1.25,5.688,0.688,0,0,0,0.163925678235277,0.743187900068965,0.0905716068809434,0.000771604938271605,0.000771604938271605,0.000771604938271605
201.938,2021,6,11,0,49,17.125,5.75,0,124.063,6,0.24229696494059,0.085182253714592,0.0291138665711967,0.000771604938271605,0.612289171019243,0.0303461388161065
91.438,2021,6,11,1,19.125,9.625,4.813,0,51.625,6.25,0.208961398386656,0.105546860464582,0.053164675571844,0.000771604938271605,0.562747975488485,0.0688074851501618
4.875,2021,6,11,5,1.5,3.25,0.125,0,0,0,0.307039411206078,0.664351851851852,0.0262939221272555,0.000771604938271605,0.000771604938271605,0.000771604938271605
254.563,2021,6,11,9,99.75,16.563,18.25,0,111.5,8.5,0.390805484349044,0.0655348244338167,0.0721311868856059,0.000771604938271605,0.436749324780889,0.0340075746123725
334.188,2021,6,11,12,81.625,30.375,33.688,0,181.75,6.75,0.243889569920502,0.0912427618918427,0.101110447257676,0.000771604938271605,0.542109309508199,0.0208763064835096
439.439,2021,6,11,15,45.75,29.313,32.313,0,324.063,8,0.104399627131214,0.0671682872233366,0.0739635673671361,0.000771604938271605,0.734804561351638,0.0188923519884036
509.001,2021,6,11,16,107.625,32.313,25.688,0,336.875,6.5,0.211236291866413,0.0639608772143138,0.0510054435241959,0.000771604938271605,0.659543185973512,0.0134825964832929
470.563,2021,6,11,18,58.25,29.375,25.5,0,351.688,5.75,0.123986400989117,0.0629078218308654,0.0547111293897147,0.000771604938271605,0.744688603968826,0.0129344388832049
375.563,2021,6,11,21,59,21.063,16.5,0,273.5,5.5,0.157141779454536,0.056595757240578,0.0445022469640066,0.000771604938271605,0.725640125789091,0.0153484856135166
82.501,2021,6,12,5,6.625,14.25,7.438,2.688,45.5,6,0.0807018931008842,0.172697130420118,0.0905106967652169,0.0332021882712682,0.549726791564517,0.0731612998779962
