Total_Value,Year,Month,Day,Hour,Ventilation,Sokets_Plug,Lighting,Other_Electricity,Cooling,Heating
254.251,2021,5,31,10,47.75,18.0,23.813,139.688,17.75,7.25
305.501,2021,5,31,11,119.0,43.063,34.875,73.188,28.375,7.0
293.251,2021,5,31,12,26.25,43.813,35.75,162.063,16.625,8.75
300.25,2021,5,31,13,88.125,44.375,38.375,103.375,17.25,8.75
26.376,2021,5,31,14,17.5,5.813,3.063,0.0,0.0,0.0
297.0,2021,5,31,15,136.0,37.5,33.0,54.25,27.25,9.0
289.751,2021,5,31,16,84.25,34.188,31.313,99.375,34.375,6.25
9.687999999999999,2021,5,31,17,5.625,1.25,2.813,0.0,0.0,0.0
282.001,2021,5,31,18,130.25,35.875,34.563,44.938,29.875,6.5
275.251,2021,5,31,19,99.75,30.063,30.5,80.063,29.125,5.75
30.75,2021,5,31,20,26.25,0.625,3.875,0.0,0.0,0.0
250.25,2021,5,31,21,50.25,23.875,23.25,124.75,22.375,5.75
210.751,2021,5,31,22,67.25,12.875,10.688,83.875,29.813,6.25
30.063000000000002,2021,5,31,23,29.0,0.875,0.188,0.0,0.0,0.0
174.25,2021,6,1,0,44.25,27.625,8.5,64.0,24.625,5.25
134.251,2021,6,1,1,19.5,12.688,5.875,68.313,22.125,5.75
126.501,2021,6,1,2,13.875,15.375,9.188,59.188,22.875,6.0
130.25099999999998,2021,6,1,3,6.625,11.188,8.25,82.18799999999997,15.75,6.25
141.75,2021,6,1,4,5.875,13.0,7.875,87.25,22.0,5.75
127.001,2021,6,1,5,6.25,12.563,7.75,73.188,21.25,6.0
83.501,2021,6,1,6,4.25,10.563,6.0,31.813,24.875,6.0
169.25,2021,6,1,7,22.875,16.75,13.25,73.25,37.875,5.25
211.0,2021,6,1,8,32.0,14.25,14.375,109.375,35.0,6.0
247.001,2021,6,1,9,118.25,16.813,15.375,53.563,36.0,7.0
155.501,2021,6,1,10,49.75,20.188,17.375,15.188,46.0,7.0
302.251,2021,6,1,11,106.5,33.313,32.688,34.375,88.625,6.75
311.251,2021,6,1,12,52.625,31.813,38.875,160.438,21.25,6.25
294.001,2021,6,1,13,118.125,30.875,40.688,64.438,32.875,7.0
77.375,2021,6,1,14,68.625,1.875,6.875,0.0,0.0,0.0
296.501,2021,6,1,15,60.125,28.313,38.375,139.188,21.0,9.5
166.25099999999998,2021,6,1,16,45.375,27.875,35.438,33.438,16.875,7.25
274.251,2021,6,1,17,77.125,32.625,38.563,83.875,36.313,5.75
279.251,2021,6,1,18,69.875,24.438,37.375,104.75,36.563,6.25
295.001,2021,6,1,19,120.25,24.125,36.063,58.188,50.375,6.0
6.938,2021,6,1,20,1.625,0.563,4.75,0.0,0.0,0.0
395.189,2021,6,1,21,96.5,18.938,19.938,0.0,254.063,5.75
215.75,2021,6,1,22,125.25,14.375,11.625,12.5,45.75,6.25
215.001,2021,6,1,23,31.625,16.75,7.063,131.563,22.0,6.0
168.50099999999995,2021,6,2,0,31.125,13.375,5.875,89.93799999999997,22.188,6.0
124.251,2021,6,2,1,34.25,9.625,4.813,43.125,26.688,5.75
4.938,2021,6,2,2,2.25,0.563,2.125,0.0,0.0,0.0
136.001,2021,6,2,3,20.375,14.25,5.438,72.188,17.75,6.0
124.501,2021,6,2,4,19.0,10.313,4.75,66.063,18.375,6.0
22.938000000000002,2021,6,2,5,21.5,0.625,0.813,0.0,0.0,0.0
145.251,2021,6,2,6,6.375,12.188,6.938,96.0,18.0,5.75
159.5,2021,6,2,7,17.625,9.25,6.125,103.125,17.375,6.0
20.813000000000002,2021,6,2,8,17.875,0.563,2.375,0.0,0.0,0.0
231.25099999999998,2021,6,2,9,85.375,15.125,17.063,60.813,46.625,6.25
252.751,2021,6,2,10,73.75,17.813,24.875,106.813,22.25,7.25
42.375,2021,6,2,11,31.125,5.75,5.5,0.0,0.0,0.0
293.001,2021,6,2,12,68.75,31.313,46.5,108.625,30.813,7.0
286.251,2021,6,2,13,49.125,27.563,44.875,140.375,17.563,6.75
55.313,2021,6,2,14,44.125,4.063,7.125,0.0,0.0,0.0
308.5,2021,6,2,15,58.75,29.625,43.25,144.125,24.25,8.5
383.06300000000005,2021,6,2,16,267.375,29.25,41.688,0.0,38.0,6.75
64.125,2021,6,2,17,57.0,1.875,5.25,0.0,0.0,0.0
269.25,2021,6,2,18,36.875,27.625,34.375,138.625,26.0,5.75
168.688,2021,6,2,19,76.125,19.438,27.125,0.0,39.75,6.25
266.001,2021,6,2,20,94.125,25.438,26.188,75.875,38.375,6.0
224.5,2021,6,2,21,78.625,17.125,16.75,81.125,24.875,6.0
194.75099999999998,2021,6,2,22,91.625,14.188,9.875,56.313,17.0,5.75
37.75100000000001,2021,6,2,23,36.375,0.563,0.813,0.0,0.0,0.0
164.50099999999998,2021,6,3,0,73.0,13.063,7.875,41.188,23.375,6.0
123.001,2021,6,3,1,17.0,10.563,5.0,65.625,18.813,6.0
128.751,2021,6,3,2,10.0,13.375,5.0,75.813,18.813,5.75
136.0,2021,6,3,3,6.5,11.375,4.875,77.625,30.125,5.5
125.25,2021,6,3,4,5.875,9.625,4.875,83.5,15.625,5.75
129.751,2021,6,3,5,6.5,14.688,9.5,71.938,20.875,6.25
144.251,2021,6,3,6,7.625,13.063,6.375,78.063,33.375,5.75
160.00099999999995,2021,6,3,7,14.5,9.813,6.25,105.688,17.75,6.0
6.3130000000000015,2021,6,3,8,4.0,0.75,1.5630000000000002,0.0,0.0,0.0
225.75099999999998,2021,6,3,9,85.5,15.563,19.563,72.25,26.625,6.25
